Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type
资产,,1000,,1,,Asset
负债,,2000,,1,,Liability
所有者权益,,3000,,1,,Equity
成本,,4000,,1,,Expense
收入,,5000,,1,,Income
现金,资产,1001,1000,1,Cash,Asset
库存现金,现金,100101,1001,,Cash,Asset
银行存款,资产,1002,1000,,Bank,Asset
备用金,资产,1004,1000,,Cash,Asset
其他货币资金,资产,1012,1000,1,Bank,Asset
银行汇票,其他货币资金,101201,1012,,Bank,Asset
银行本票,其他货币资金,101202,1012,,Bank,Asset
信用卡,其他货币资金,101203,1012,,Bank,Asset
信用卡保证金,其他货币资金,101204,1012,,Bank,Asset
外埠存款,其他货币资金,101205,1012,,Bank,Asset
短期投资,资产,1101,1000,1,,Asset
股票,短期投资,110101,1101,,,Asset
债券,短期投资,110102,1101,,,Asset
基金,短期投资,110103,1101,,,Asset
应收票据,资产,1121,1000,,Receivable,Asset
应收账款,资产,1122,1000,,Receivable,Asset
预付账款,资产,1123,1000,,Payable,Asset
应收股利,资产,1131,1000,,Receivable,Asset
应收利息,资产,1132,1000,,Receivable,Asset
其他应收款,资产,1221,1000,,Receivable,Asset
材料采购,资产,1401,1000,,,Asset
在途物资,资产,1402,1000,,Stock,Asset
原材料,资产,1403,1000,,Stock,Asset
材料成本差异,资产,1404,1000,,Stock Adjustment,Asset
库存商品,资产,1405,1000,,Stock,Asset
商品进销差价,资产,1407,1000,,Stock,Asset
委托加工物资,资产,1408,1000,,Stock,Asset
周转材料,资产,1411,1000,1,Stock,Asset
在库,周转材料,141101,1411,,Stock,Asset
在用,周转材料,141102,1411,,Stock,Asset
摊销,周转材料,141103,1411,,Stock,Asset
包装物,资产,1412,1000,,Stock,Asset
低值易耗品,资产,1413,1000,,Stock,Asset
消耗性生物资产,资产,1421,1000,,Stock,Asset
长期债券投资,资产,1501,1000,1,,Asset
面值,长期债券投资,150101,1501,,,Asset
溢折价,长期债券投资,150102,1501,,,Asset
应计利息,长期债券投资,150103,1501,,,Asset
长期股权投资,资产,1511,1000,,,Asset
固定资产,资产,1601,1000,,Fixed Asset,Asset
累计折旧,资产,1602,1000,,Accumulated Depreciation,Asset
在建工程,资产,1604,1000,,Fixed Asset,Asset
工程物资,资产,1605,1000,1,Fixed Asset,Asset
专用材料,工程物资,160501,1605,,Fixed Asset,Asset
专用设备,工程物资,160502,1605,,Fixed Asset,Asset
工器具,工程物资,160503,1605,,Fixed Asset,Asset
固定资产清理,资产,1606,1000,,Fixed Asset,Asset
生产性生物资产,资产,1621,1000,1,Fixed Asset,Asset
未成熟生产性生物资产,生产性生物资产,162101,1621,,Fixed Asset,Asset
成熟生产性生物资产,生产性生物资产,162102,1621,,Fixed Asset,Asset
生产性生物资产累计折旧,资产,1622,1000,,Depreciation,Asset
无形资产,资产,1701,1000,,,Asset
累计摊销,资产,1702,1000,,,Asset
长期待摊费用,资产,1801,1000,,,Asset
待处理财产损溢,资产,1901,1000,1,,Asset
待处理流动资产损溢,待处理财产损溢,190101,1901,,,Asset
待处理非流动资产损溢,待处理财产损溢,190102,1901,,,Asset
短期借款,负债,2001,2000,,,Liability
应付票据,负债,2201,2000,,Payable,Liability
应付账款,负债,2202,2000,,Payable,Liability
预收账款,负债,2203,2000,,Receivable,Liability
应付职工薪酬,负债,2211,2000,1,Payable,Liability
职工工资,应付职工薪酬,221101,2211,,Payable,Liability
奖金、津贴和补贴,应付职工薪酬,221102,2211,,Payable,Liability
职工福利费,应付职工薪酬,221103,2211,,Payable,Liability
社会保险费,应付职工薪酬,221104,2211,,Payable,Liability
住房公积金,应付职工薪酬,221105,2211,,Payable,Liability
工会经费,应付职工薪酬,221106,2211,,Payable,Liability
职工教育经费,应付职工薪酬,221107,2211,,Payable,Liability
非货币性福利,应付职工薪酬,221108,2211,,Payable,Liability
辞退福利,应付职工薪酬,221109,2211,,Payable,Liability
应交税费,负债,2221,2000,1,,Liability
增值税,应交税费,222101,2221,1,,Liability
进项税额,增值税,22210101,222101,,,Liability
销项税额,增值税,22210102,222101,,,Liability
出口抵减内销产品应纳税额,增值税,22210103,222101,,,Liability
进项税额转出,增值税,22210104,222101,,,Liability
出口退税,增值税,22210105,222101,,,Liability
已交税金,增值税,22210106,222101,,,Liability
城市维护建设税,应交税费,222102,2221,,,Liability
教育费附加,应交税费,222103,2221,,,Liability
地方教育附加,应交税费,222104,2221,,,Liability
水利基金,应交税费,222105,2221,,,Liability
印花税,应交税费,222106,2221,,,Liability
矿产资源税,应交税费,222107,2221,,,Liability
环保和水资源税,应交税费,222108,2221,,,Liability
房产税和城镇土地使用税,应交税费,222109,2221,,,Liability
土地增值税,应交税费,222110,2221,,,Liability
消费税、车船税,应交税费,222111,2221,,,Liability
企业所得税,应交税费,222112,2221,,,Liability
个人所得税,应交税费,222113,2221,,,Liability
其他税费,负债,222115,2000,,,Liability
应付利息,负债,2231,2000,,,Liability
应付利润,负债,2232,2000,,,Liability
其他应付款,负债,2241,2000,,,Liability
递延收益,负债,2401,2000,,,Liability
长期借款,负债,2501,2000,,,Liability
长期应付款,负债,2701,2000,,,Liability
暂估库存,负债,2801,2000,,Stock Received But Not Billed,Liability
暂估库存,负债,280101,2000,,Stock Received But Not Billed,Liability
暂估服务,负债,280102,2000,,Stock Received But Not Billed,Liability
暂估资产,负债,280103,2000,,Stock Received But Not Billed,Liability
实收资本,所有者权益,3001,3000,,,Equity
资本公积,所有者权益,3002,3000,,,Equity
盈余公积,所有者权益,3101,3000,1,,Equity
法定盈余公积,盈余公积,310101,3101,,,Equity
任意盈余公积,盈余公积,310102,3101,,,Equity
职工奖励及福利基金,盈余公积,310103,3101,,,Equity
储备基金,盈余公积,310104,3101,,,Equity
企业发展基金,盈余公积,310105,3101,,,Equity
利润归还投资,盈余公积,310106,3101,,,Equity
本年利润,所有者权益,3103,3000,,,Equity
利润分配,所有者权益,3104,3000,1,,Equity
未分配利润,利润分配,310401,3104,,,Equity
应付利润,利润分配,310402,3104,,,Equity
生产成本,成本,4001,4000,1,Cost of Goods Sold,Expense
基本生产成本,生产成本,400101,4001,,Cost of Goods Sold,Expense
辅助生产成本,生产成本,400102,4001,,Cost of Goods Sold,Expense
库存调整,生产成本,400103,4001,,Stock Adjustment,Expense
计入物料成本的费用,生产成本,400104,4001,,Expenses Included In Valuation,Expense
计入资产的费用,生产成本,400105,4001,,Expenses Included In Asset Valuation,Expense
劳务成本,成本,4002,4000,,Cost of Goods Sold,Expense
制造费用,成本,4101,4000,1,Cost of Goods Sold,Expense
机物料消耗,制造费用,410101,4101,,Cost of Goods Sold,Expense
修理费,制造费用,410102,4101,,Cost of Goods Sold,Expense
职工薪酬,制造费用,410103,4101,,Cost of Goods Sold,Expense
折旧摊销费,制造费用,410104,4101,,Depreciation,Expense
办公费,制造费用,410105,4101,,Cost of Goods Sold,Expense
水电费,制造费用,410106,4101,,Cost of Goods Sold,Expense
停工损失,制造费用,410107,4101,,Cost of Goods Sold,Expense
研发支出,成本,4301,4000,1,,Expense
费用化支出,研发支出,430101,4301,,,Expense
资本化支出,研发支出,430102,4301,,,Expense
工程施工,成本,4401,4000,1,Cost of Goods Sold,Expense
合同成本,工程施工,440101,4401,,Cost of Goods Sold,Expense
间接费用,工程施工,440102,4401,,Cost of Goods Sold,Expense
机械作业,成本,4403,4000,,,Expense
主营业务收入,收入,5001,5000,,,Income
其他业务收入,收入,5051,5000,1,,Income
销售材料,其他业务收入,505101,5051,,,Income
出租固定资产,其他业务收入,505102,5051,,,Income
出租无形资产,其他业务收入,505103,5051,,,Income
投资收益,收入,5111,5000,,,Income
营业外收入:利得收入、政府补助、其他,收入,5301,5000,1,,Income
非流动资产处置净收益,营业外收入:利得收入、政府补助、其他,530101,5301,,,Income
政府补助,营业外收入:利得收入、政府补助、其他,530102,5301,,,Income
捐赠收益,营业外收入:利得收入、政府补助、其他,530103,5301,,,Income
盘盈收益,营业外收入:利得收入、政府补助、其他,530104,5301,,,Income
汇兑收益,营业外收入:利得收入、政府补助、其他,530105,5301,,,Income
出租包装物和商品的租金收入,营业外收入:利得收入、政府补助、其他,530106,5301,,,Income
愈期未退包装物押金收益,营业外收入:利得收入、政府补助、其他,530107,5301,,,Income
确实无法偿付的应付款项,营业外收入:利得收入、政府补助、其他,530108,5301,,,Income
已作坏帐损失又回收的应收款项,营业外收入:利得收入、政府补助、其他,530109,5301,,,Income
违约金收益,营业外收入:利得收入、政府补助、其他,530110,5301,,,Income
主营业务成本,成本,5401,4000,,Cost of Goods Sold,Expense
其他业务成本,成本,5402,4000,1,Cost of Goods Sold,Expense
销售材料的成本,其他业务成本,240201,5402,,Cost of Goods Sold,Expense
出租固定资产的折旧,其他业务成本,540202,5402,,Cost of Goods Sold,Expense
出租无形资产的摊销额,其他业务成本,540203,5402,,Cost of Goods Sold,Expense
税金及附加,成本,5403,4000,1,,Expense
增附税费:城建税、教育及地方教育附加,税金及附加,540301,5403,,,Expense
收入附加税费:水利基金、印花税,税金及附加,540302,5403,,,Expense
矿产资源税,税金及附加,540303,5403,,,Expense
消费税……,税金及附加,540304,5403,,,Expense
销售费用,成本,5601,4000,1,,Expense
职工薪酬,销售费用,560101,5601,,,Expense
商品维修费、包装费,销售费用,560102,5601,,,Expense
运输费、装卸费,销售费用,560103,5601,,,Expense
保险费,销售费用,560104,5601,,,Expense
广告费和业务宣传费,销售费用,560105,5601,,,Expense
展览费……,销售费用,560106,5601,,,Expense
管理费用,成本,5602,4000,1,,Expense
办公水电费,管理费用,560201,5602,,,Expense
职工薪酬,管理费用,560202,5602,,,Expense
差旅费,管理费用,560203,5602,,,Expense
折旧摊销费,管理费用,560204,5602,,,Expense
修理费,管理费用,560205,5602,,,Expense
仓储运输车辆费,管理费用,560206,5602,,,Expense
网络通信费,管理费用,560207,5602,,,Expense
业务招待费,管理费用,560208,5602,,,Expense
研究和技术转让费,管理费用,560209,5602,,,Expense
财产保险费,管理费用,560210,5602,,,Expense
税收规费,管理费用,560211,5602,,,Expense
中介机构咨询诉讼费,管理费用,560212,5602,,,Expense
其他支出,管理费用,560215,5602,,,Expense
财务费用,成本,5603,4000,1,,Expense
利息费用,财务费用,560301,5603,,,Expense
工本手续费,财务费用,560302,5603,,,Expense
汇兑损失,财务费用,560303,5603,,,Expense
现金折扣,财务费用,560304,5603,,,Expense
营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,成本,5711,4000,1,,Expense
存货的盘亏、毁损、报废损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571101,5711,,,Expense
非流动资产处置净损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571102,5711,,,Expense
坏账损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571103,5711,,,Expense
无法收回的长期债券投资损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571104,5711,,,Expense
无法收回的长期股权投资损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571105,5711,,,Expense
自然灾害等不可抗力因素造成的损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571106,5711,,,Expense
税收滞纳金、罚金、罚款,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571107,5711,,,Expense
被没收财物的损失,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571108,5711,,,Expense
捐赠支出,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571109,5711,,,Expense
赞助支出,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571110,5711,,,Expense
圆整抹零,营业外支出:损失支出、罚没滞纳金、捐赠赞助、其他,571111,5711,,,Expense
所得税费用,成本,5801,4000,,,Expense
临时开账科目,所有者权益,9999,3000,,Temporary,Equity